id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802387	10.2307/802387	Sorting Them out	Ruth Evelyn Henderson	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 554-562	National Council of Teachers of English	fla			
10.2307/802271	10.2307/802271	Book Notices		The English Journal	13	5	1924-05-01T00:00:00Z	pp. 364-371	National Council of Teachers of English	mis			
10.2307/802627	10.2307/802627	High Lights on Amateur Drama throughout the United States	Carrie D. Wright	The English Journal	13	2	1924-02-01T00:00:00Z	pp. 125-128	National Council of Teachers of English	fla			
10.2307/802236	10.2307/802236	Oral Composition in College	Alice Bidwell Wesenberg	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 686-689	National Council of Teachers of English	fla			
10.2307/802210	10.2307/802210	Book Notices		The English Journal	12	2	1923-02-01T00:00:00Z	pp. 150+152	National Council of Teachers of English	mis			
10.2307/802786	10.2307/802786	Front Matter		The English Journal	12	5	1923-05-01T00:00:00Z	p. 361	National Council of Teachers of English	mis			
10.2307/802304	10.2307/802304	Book Notices		The English Journal	13	8	1924-10-01T00:00:00Z	pp. 613-616+618	National Council of Teachers of English	mis			
10.2307/802420	10.2307/802420	A College Course in General Reading	Thomas Percival Beyer	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 377-383	National Council of Teachers of English	fla			
10.2307/802628	10.2307/802628	Girls and Boys	Ruth Evelyn Henderson	The English Journal	13	2	1924-02-01T00:00:00Z	p. 128	National Council of Teachers of English	fla			
10.2307/801975	10.2307/801975	Journalism and the "Reality Stimulus"	Russell Paine	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 193-201	National Council of Teachers of English	fla			
10.2307/802378	10.2307/802378	Editorial: Help Find the Money. Mother's Reading and Mary's. Speech Week		The English Journal	14	2	1925-02-01T00:00:00Z	pp. 156-158	National Council of Teachers of English	fla			
10.2307/802802	10.2307/802802	Back Matter		The English Journal	12	5	1923-05-01T00:00:00Z	p. 364	National Council of Teachers of English	mis			
10.2307/802867	10.2307/802867	Problems in the Teaching of Oral Expression	Thomas Warrington Gosling	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 160-164	National Council of Teachers of English	fla			
10.2307/802832	10.2307/802832	Front Matter		The English Journal	10	8	1921-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802278	10.2307/802278	Solving the Problem of the Failure in English	Bertie Backus	The English Journal	9	10	1920-12-01T00:00:00Z	pp. 579-583	National Council of Teachers of English	fla			
10.2307/802398	10.2307/802398	A Helpful Guide	Frank C. Tompkins	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 594-595	National Council of Teachers of English	brv	Producing in Little Theaters|Clarence Stratton		
10.2307/802711	10.2307/802711	Back Matter		The English Journal	14	4	1925-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802385	10.2307/802385	More Accurate Use of Composition Scales	Edward William Dolch, Jr.	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 536-544	National Council of Teachers of English	fla			
10.2307/802920	10.2307/802920	Do They Improve?	J. H. McKee	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 642-643	National Council of Teachers of English	fla			
10.2307/802254	10.2307/802254	What Do High-School Teachers Say about the Classics at Present Used?	Frances Mary Hughes	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 331-335	National Council of Teachers of English	fla			
10.2307/802139	10.2307/802139	Bowling with Grammar	L. J. Mills	The English Journal	9	4	1920-04-01T00:00:00Z	pp. 227-229	National Council of Teachers of English	fla			
10.2307/802857	10.2307/802857	The Study Club: Conflicts in "The Merchant of Venice"	Edgar S. Packard	The English Journal	11	3	1922-03-01T00:00:00Z	pp. 184-187	National Council of Teachers of English	fla			
10.2307/802444	10.2307/802444	One Way to Get Social Letters Written	Walter Barnes	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 109-111	National Council of Teachers of English	fla			
10.2307/801891	10.2307/801891	Book Notices		The English Journal	11	5	1922-05-01T00:00:00Z	pp. 321-322	National Council of Teachers of English	mis			
10.2307/802806	10.2307/802806	American Authors of Today: V. Edith Wharton	Percy H. Boynton	The English Journal	12	1	1923-01-01T00:00:00Z	pp. 24-32	National Council of Teachers of English	fla			
10.2307/802233	10.2307/802233	Tests for English Teachers	Allan Abbott	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 663-671	National Council of Teachers of English	fla			
10.2307/802760	10.2307/802760	Exit	Rhoda Wyet	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 430-431	National Council of Teachers of English	fla			
10.2307/802479	10.2307/802479	Book Notices		The English Journal	14	1	1925-01-01T00:00:00Z	pp. 84-86+88	National Council of Teachers of English	mis			
10.2307/802677	10.2307/802677	Proceedings of the Eleventh Annual Meeting of the National Council of Teachers of English		The English Journal	11	1	1922-01-01T00:00:00Z	pp. 38-63	National Council of Teachers of English	mis			
10.2307/802464	10.2307/802464		Orton Lowe	The English Journal	12	7	1923-09-01T00:00:00Z	p. 504	National Council of Teachers of English	brv	The New Democracy in the Teaching of English|Walter Barnes		
10.2307/802618	10.2307/802618	An Important Technical Study	W. Wilbur Hatfield	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 287-289	National Council of Teachers of English	brv	The Twenty-Second Yearbook of the National Society for the Study of Education. Part I: English Composition, Its Aims, Methods, and Measurement|Earl Hudelson		
10.2307/803009	10.2307/803009	At the Sign of the Quill	Linda Rider	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 531-533	National Council of Teachers of English	fla			
10.2307/802970	10.2307/802970	Book Notices		The English Journal	10	2	1921-02-01T00:00:00Z	pp. 115-118	National Council of Teachers of English	mis			
10.2307/802793	10.2307/802793	Illustrative Material for High-School Literature. VII (Concluded)	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 334-343	National Council of Teachers of English	mis			
10.2307/802869	10.2307/802869	On (or of) Prepositions	Edna Osborne Whitcomb	The English Journal	10	3	1921-03-01T00:00:00Z	pp. 167-169	National Council of Teachers of English	fla			
10.2307/802002	10.2307/802002	New Kinds of Books for Our School Libraries	Charles Robert Gaston	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 741-743	National Council of Teachers of English	fla			
10.2307/802564	10.2307/802564	A Valuable Report	W. Wilbur Hatfield	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 294-295	National Council of Teachers of English	brv	English and Business|Benjamin A. Heydrick;John Mantle Clapp;Commercial Education Research Committee		
10.2307/802032	10.2307/802032	The Library and the Department of English	David McCaslin	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 591-598	National Council of Teachers of English	fla			
10.2307/802663	10.2307/802663	Ethical Training through the Teaching of English	Mary F. Farnsworth	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 469-471	National Council of Teachers of English	fla			
10.2307/802333	10.2307/802333	A Pledge for Teachers		The English Journal	14	5	1925-05-01T00:00:00Z	p. 413	National Council of Teachers of English	fla			
10.2307/802889	10.2307/802889	News and Notes		The English Journal	13	6	1924-06-01T00:00:00Z	pp. 428-437	National Council of Teachers of English	mis			
10.2307/803004	10.2307/803004	The Annotated English Classic	Julian W. Abernethy	The English Journal	10	9	1921-11-01T00:00:00Z	pp. 497-504	National Council of Teachers of English	fla			
10.2307/802863	10.2307/802863	Front Matter		The English Journal	10	3	1921-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802091	10.2307/802091	One Solution?	Helen I. Davis	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 245-247	National Council of Teachers of English	fla			
10.2307/801977	10.2307/801977	An Adventure in Method	Oliver M. Ainsworth	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 209-212	National Council of Teachers of English	fla			
10.2307/802517	10.2307/802517	Front Matter		The English Journal	10	6	1921-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802755	10.2307/802755	What Shall We Do with Freshman Themes?	Allan H. Gilbert	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 392-403	National Council of Teachers of English	fla			
10.2307/801899	10.2307/801899	More Pedagogy than Poetry	Ruth Evelyn Henderson	The English Journal	13	1	1924-01-01T00:00:00Z	p. 38	National Council of Teachers of English	fla			
10.2307/802208	10.2307/802208	Early Iowa Recreated		The English Journal	12	2	1923-02-01T00:00:00Z	p. 149	National Council of Teachers of English	brv	Vandemark's Folly|Herbert Quick		
10.2307/802465	10.2307/802465	Milton and His Successors	Paul Kaufman	The English Journal	12	7	1923-09-01T00:00:00Z	p. 505	National Council of Teachers of English	brv	The Influence of Milton on English Poetry|Raymond Dexter Havens		
10.2307/802706	10.2307/802706	Visualizing a Classic	Fay Southwell	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 326-327	National Council of Teachers of English	fla			
10.2307/802745	10.2307/802745	Front Matter		The English Journal	9	1	1920-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801996	10.2307/801996	The Denial of Our Teaching	Helene B. Bullock	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 715-720	National Council of Teachers of English	fla			
10.2307/801947	10.2307/801947	The Play Producer's Note Book		The English Journal	11	8	1922-10-01T00:00:00Z	p. 508	National Council of Teachers of English	fla			
10.2307/802179	10.2307/802179	Front Matter		The English Journal	9	5	1920-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802204	10.2307/802204	Journalism, a Socializing Agency	Bessie M. Huff	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 136-137	National Council of Teachers of English	fla			
10.2307/801939	10.2307/801939	Pronunciation in the Schools	Louise Pound	The English Journal	11	8	1922-10-01T00:00:00Z	pp. 474-481	National Council of Teachers of English	fla			
10.2307/802037	10.2307/802037	The Funeral Train	Helena Gavin	The English Journal	12	9	1923-11-01T00:00:00Z	p. 620	National Council of Teachers of English	fla			
10.2307/802848	10.2307/802848	Front Matter		The English Journal	11	3	1922-03-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802025	10.2307/802025	News and Notes		The English Journal	14	9	1925-11-01T00:00:00Z	pp. 727-736	National Council of Teachers of English	mis			
10.2307/801954	10.2307/801954	Front Matter		The English Journal	12	3	1923-03-01T00:00:00Z	p. 221	National Council of Teachers of English	mis			
10.2307/802800	10.2307/802800	A Monstrous Handicap		The English Journal	12	5	1923-05-01T00:00:00Z	pp. 357-358	National Council of Teachers of English	brv	The Labor and Cost of the Teaching of English|Edwin M. Hopkins		
10.2307/801888	10.2307/801888	A Quartet of Composition Books	W. Wilbur Hatfield	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 317-319	National Council of Teachers of English	brv	A Minimum Course in Rhetoric|Henry C. Edgar, Effective Expression|Charles Elbert Rhodes, Human Interest Composition Subjects|George F. Paul, English for Immediate Use|Frederick Houk Law		
10.2307/802128	10.2307/802128	Present-Day Punctuation	R. L. Lasley	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 235-236	National Council of Teachers of English	brv	Modern Punctuation, Its Utilities and Conventions|George Summey, Jr.		
10.2307/802414	10.2307/802414	What's in a Name?	E. D. C.	The English Journal	13	7	1924-09-01T00:00:00Z	pp. 523-524	National Council of Teachers of English	brv	Ariel: The Life of Shelley|Andre Maurois		
10.2307/802608	10.2307/802608	Two Plays Are Better than One	Harold Saxe Tuttle	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 240-244	National Council of Teachers of English	fla			
10.2307/802440	10.2307/802440	Business English or English in Business?	Luella B. Cook	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 80-87	National Council of Teachers of English	fla			
10.2307/802184	10.2307/802184	A Short-Story Reading List	Raymond W. Pence	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 270-283	National Council of Teachers of English	fla			
10.2307/802541	10.2307/802541	Editorial: Our Own Reading. Illustrative Material. An Exposition of Method		The English Journal	11	6	1922-06-01T00:00:00Z	pp. 369-370	National Council of Teachers of English	fla			
10.2307/801956	10.2307/801956	The Development and Comparative Values of Composition Scales	Earl Hudelson	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 163-168	National Council of Teachers of English	fla			
10.2307/802366	10.2307/802366	The High School's Personal Reading	H. Reed Fulton	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 126-129	National Council of Teachers of English	fla			
10.2307/802195	10.2307/802195	Making Themes Mean Something	H. P. Scott	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 93-97	National Council of Teachers of English	fla			
10.2307/802158	10.2307/802158	Editorial: Speaking of Platforms		The English Journal	9	7	1920-09-01T00:00:00Z	pp. 420-421	National Council of Teachers of English	fla			
10.2307/802454	10.2307/802454	Lines to My Pupils--On Asking Them to Write: A Poem	Paul S. Nickerson	The English Journal	12	7	1923-09-01T00:00:00Z	p. 449	National Council of Teachers of English	fla			
10.2307/801906	10.2307/801906	Book Notices		The English Journal	13	1	1924-01-01T00:00:00Z	pp. 85-87	National Council of Teachers of English	mis			
10.2307/802328	10.2307/802328	A Lesson in Character Study	Rowena Keith Keyes	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 394-403	National Council of Teachers of English	fla			
10.2307/802536	10.2307/802536	"The Philistine's Son"	G. R. Elliott	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 349-354	National Council of Teachers of English	fla			
10.2307/802520	10.2307/802520	Meeting the Public Demand	J. W. Searson	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 327-331	National Council of Teachers of English	fla			
10.2307/801889	10.2307/801889	A "Useful Weapon" in the Composition Class	Conrad T. Logan	The English Journal	11	5	1922-05-01T00:00:00Z	pp. 319-320	National Council of Teachers of English	brv	Modern Essays|Christopher Morley, Modern Essays for Schools|Christopher Morley		
10.2307/802894	10.2307/802894	Back Matter		The English Journal	13	6	1924-06-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802224	10.2307/802224	Words	Marshall Kirby	The English Journal	14	7	1925-09-01T00:00:00Z	p. 557	National Council of Teachers of English	fla			
10.2307/802228	10.2307/802228	Book Notices		The English Journal	14	7	1925-09-01T00:00:00Z	pp. 576-580+582	National Council of Teachers of English	mis			
10.2307/802552	10.2307/802552	Does the Pageant Vitalize Literature?	Gertrude Enfield	The English Journal	13	4	1924-04-01T00:00:00Z	pp. 267-269	National Council of Teachers of English	fla			
10.2307/802924	10.2307/802924	News and Notes	Dorothy Jane Colburn, Edith Erskine, Claudia E. Crumpton, Evaline Harrington	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 648-656	National Council of Teachers of English	mis			
10.2307/802460	10.2307/802460	Motivation for Reading Aloud	Irvin C. Poley	The English Journal	12	7	1923-09-01T00:00:00Z	pp. 490-491	National Council of Teachers of English	fla			
10.2307/802713	10.2307/802713	Front Matter		The English Journal	10	10	1921-12-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802302	10.2307/802302	Literature as a Source Book of Human Experience	Helene Gavin	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 609-611	National Council of Teachers of English	brv	Literature and Life|William H. Elson;Christine M. Keck;Edwin Greenlaw;Clarence Stratton;Dudley H. Miles		
10.2307/802293	10.2307/802293	Rehabilitating outside Reading	Blandford Jennings	The English Journal	13	8	1924-10-01T00:00:00Z	pp. 560-567	National Council of Teachers of English	fla			
10.2307/802446	10.2307/802446	The Open Road	T. Buell Card	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 112-113	National Council of Teachers of English	fla			
10.2307/802657	10.2307/802657	Our Pragmatic Language	W. P. Reeves	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 431-439	National Council of Teachers of English	fla			
10.2307/802312	10.2307/802312	Group Work in the Composition Class	Lillian E. Whiton	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 399-401	National Council of Teachers of English	fla			
10.2307/802052	10.2307/802052	The New Knowledge of Spelling	C. H. Ward	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 78-88	National Council of Teachers of English	fla			
10.2307/802518	10.2307/802518	By What Standards Are High-School Pupils Promoted in English Composition?	C. C. Certain	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 305-315	National Council of Teachers of English	fla			
10.2307/802475	10.2307/802475	Lesson on Milton's "L'Allegro"	Dora V. Smith	The English Journal	14	1	1925-01-01T00:00:00Z	pp. 36-46	National Council of Teachers of English	fla			
10.2307/802897	10.2307/802897	The Earth for Sale	Harold Monro	The English Journal	14	10	1925-12-01T00:00:00Z	pp. 745-748	National Council of Teachers of English	fla			
10.2307/802325	10.2307/802325	Motivation in Commercial English	Hortense L. Harris	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 376-383	National Council of Teachers of English	fla			
10.2307/802474	10.2307/802474	What Is the Panacea?	Lucia B. Mirrielees	The English Journal	14	1	1925-01-01T00:00:00Z	pp. 31-35	National Council of Teachers of English	fla			
10.2307/802987	10.2307/802987	English in Part-Time Classes	Homer J. Smith	The English Journal	10	5	1921-05-01T00:00:00Z	pp. 247-255	National Council of Teachers of English	fla			
10.2307/802545	10.2307/802545	Book Notices		The English Journal	11	6	1922-06-01T00:00:00Z	pp. 380-381	National Council of Teachers of English	mis			
10.2307/801935	10.2307/801935	Back Matter		The English Journal	12	8	1923-10-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802708	10.2307/802708	Editorial: The Place of Individual Instruction in Composition. Inventory Time		The English Journal	14	4	1925-04-01T00:00:00Z	pp. 329-330	National Council of Teachers of English	fla			
10.2307/802218	10.2307/802218	Slang: A Lesson in Ninth-Grade Composition	A. Bess Clark	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 541-546	National Council of Teachers of English	fla			
10.2307/802476	10.2307/802476	Fourteenth Annual Meeting of National Council of Teachers of English		The English Journal	14	1	1925-01-01T00:00:00Z	pp. 47-76	National Council of Teachers of English	mis			
10.2307/802419	10.2307/802419	Are Your Pupils up to Standard in Composition?	C. C. Certain	The English Journal	12	6	1923-06-01T00:00:00Z	pp. 365-377	National Council of Teachers of English	fla			
10.2307/802692	10.2307/802692	Front Matter		The English Journal	14	4	1925-04-01T00:00:00Z	p. 345	National Council of Teachers of English	mis			
10.2307/801974	10.2307/801974	What English Teachers Can Do to Promote World-Peace	E. Estelle Downing	The English Journal	14	3	1925-03-01T00:00:00Z	pp. 183-192	National Council of Teachers of English	fla			
10.2307/802522	10.2307/802522	Group Projects in Upper-Grade Composition	Grace H. Ryffel	The English Journal	10	6	1921-06-01T00:00:00Z	pp. 337-340	National Council of Teachers of English	fla			
10.2307/802087	10.2307/802087	The Teaching of "Walden" in High School	Martha E. Bonham	The English Journal	11	4	1922-04-01T00:00:00Z	pp. 232-235	National Council of Teachers of English	fla			
10.2307/802599	10.2307/802599	Editorial: Before We Forget		The English Journal	14	6	1925-06-01T00:00:00Z	p. 488	National Council of Teachers of English	fla			
10.2307/802911	10.2307/802911	Book Notices		The English Journal	14	10	1925-12-01T00:00:00Z	pp. 820-824+826	National Council of Teachers of English	mis			
10.2307/802893	10.2307/802893	Book Notices		The English Journal	13	6	1924-06-01T00:00:00Z	pp. 441-444	National Council of Teachers of English	mis			
10.2307/802532	10.2307/802532	Intolerance in the Teaching of English	H. W. Davis	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 323-330	National Council of Teachers of English	fla			
10.2307/802190	10.2307/802190	The Antipodes	R. L. Lyman	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 299-301	National Council of Teachers of English	brv	Our Living Language|Howard R. Driggs		
10.2307/802270	10.2307/802270	A Valuable Textbook	Jean M. Ferguson	The English Journal	13	5	1924-05-01T00:00:00Z	pp. 363-364	National Council of Teachers of English	brv	High School English Book|Alfred M. Hitchcock		
10.2307/802699	10.2307/802699	Long on Human Nature	Claude Kinnick	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 310-315	National Council of Teachers of English	fla			
10.2307/802750	10.2307/802750	National Council of Teachers of English: Proceedings of the Ninth Annual Meeting, Boston, November 24-26, 1919		The English Journal	9	1	1920-01-01T00:00:00Z	pp. 28-56	National Council of Teachers of English	mis			
10.2307/802652	10.2307/802652	Editorial: Gain and Loss		The English Journal	9	3	1920-03-01T00:00:00Z	p. 177	National Council of Teachers of English	fla			
10.2307/802363	10.2307/802363	A Doubtful Ally	John Adams	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 115-120	National Council of Teachers of English	fla			
10.2307/802326	10.2307/802326	Silent Reading in the High School	J. C. Tressler	The English Journal	14	5	1925-05-01T00:00:00Z	pp. 383-389	National Council of Teachers of English	fla			
10.2307/802442	10.2307/802442	Out of the Mouths of Freshmen	Clara F. McIntyre	The English Journal	9	2	1920-02-01T00:00:00Z	pp. 96-102	National Council of Teachers of English	fla			
10.2307/802788	10.2307/802788	Salvage in Ninth-Grade English	Sara Vore Taylor	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 306-316	National Council of Teachers of English	fla			
10.2307/802882	10.2307/802882	Making Things Make Themselves	Vera E. Fawcett	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 412-416	National Council of Teachers of English	fla			
10.2307/802447	10.2307/802447	On Teaching English	Laura Bell Everett	The English Journal	9	2	1920-02-01T00:00:00Z	p. 113	National Council of Teachers of English	fla			
10.2307/802182	10.2307/802182	"English A" Once More	Franklyn B. Snyder	The English Journal	9	5	1920-05-01T00:00:00Z	pp. 261-265	National Council of Teachers of English	fla			
10.2307/802918	10.2307/802918	A Recitation with Freshmen	Stanley T. Williams	The English Journal	11	10	1922-12-01T00:00:00Z	pp. 628-631	National Council of Teachers of English	fla			
10.2307/801922	10.2307/801922	Some Straws in Contemporary Literature: Fiction in England and America	Edith Rickert	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 509-516	National Council of Teachers of English	fla			
10.2307/802803	10.2307/802803	Front Matter		The English Journal	12	1	1923-01-01T00:00:00Z	p. 79	National Council of Teachers of English	mis			
10.2307/802741	10.2307/802741	Teaching Older Pupils to Study	W. Wilbur Hatfield	The English Journal	13	9	1924-11-01T00:00:00Z	pp. 682-683	National Council of Teachers of English	brv	The Mind at Work|R. L. Lyman		
10.2307/802607	10.2307/802607	The Content of Seventh- and Eighth-Grade Readers	M. E. Herriott	The English Journal	12	4	1923-04-01T00:00:00Z	pp. 234-240	National Council of Teachers of English	fla			
10.2307/802337	10.2307/802337	Book Notices		The English Journal	14	5	1925-05-01T00:00:00Z	pp. 428-432+434	National Council of Teachers of English	mis			
10.2307/801965	10.2307/801965	Editorial: The Verdict of Experience		The English Journal	12	3	1923-03-01T00:00:00Z	p. 209	National Council of Teachers of English	fla			
10.2307/802201	10.2307/802201	Illustrative Material for High-School Literature. IV	Jane Anderson Hilson, Katherine E. Wheeling	The English Journal	12	2	1923-02-01T00:00:00Z	pp. 126-133	National Council of Teachers of English	mis			
10.2307/802791	10.2307/802791	American Authors of Today: IX. The Short Story	Percy H. Boynton	The English Journal	12	5	1923-05-01T00:00:00Z	pp. 325-333	National Council of Teachers of English	fla			
10.2307/802828	10.2307/802828	An Exceptional Anthology	Paul Kaufman	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 224-225	National Council of Teachers of English	brv	Backgrounds of Book Reviewing|Herbert S. Mallory		
10.2307/802984	10.2307/802984	Back Matter		The English Journal	9	9	1920-11-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802709	10.2307/802709	News and Notes	Lydia F. Trowbridge, Alice Louise Marsh, Ella Gill	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 331-338	National Council of Teachers of English	mis			
10.2307/803014	10.2307/803014	A Correction: Group Work in the Composition Class		The English Journal	10	9	1921-11-01T00:00:00Z	p. 537	National Council of Teachers of English	fla			
10.2307/802758	10.2307/802758	How High-School Seniors Regard English	Robert H. Proctor	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 425-428	National Council of Teachers of English	fla			
10.2307/802818	10.2307/802818	Reforming the Study of English	Morris B. Sanford	The English Journal	13	3	1924-03-01T00:00:00Z	pp. 200-205	National Council of Teachers of English	fla			
10.2307/802033	10.2307/802033	Some Straws in Contemporary Literature: Poetry, Drama, and Essay in English	Edith Rickert	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 599-604	National Council of Teachers of English	fla			
10.2307/802569	10.2307/802569	Back Matter		The English Journal	13	4	1924-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801966	10.2307/801966	News and Notes	Claudia E. Crumpton, H. G. Paul, Harold W. Gammans, Mary Pansy Aiken	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 210-216	National Council of Teachers of English	mis			
10.2307/802922	10.2307/802922	Just as It Occurred	Lillian E. Whiton	The English Journal	11	10	1922-12-01T00:00:00Z	p. 645	National Council of Teachers of English	fla			
10.2307/802010	10.2307/802010	A New Method for College Composition	Robert E. Spiller	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 756-758	National Council of Teachers of English	brv	Writing by Types: A Manual of Composition for College Students|Albert C. Baugh;Paul C. Kitchen;Matthew W. Black		
10.2307/802044	10.2307/802044	English Journal Prizes		The English Journal	12	9	1923-11-01T00:00:00Z	p. 635	National Council of Teachers of English	mis			
10.2307/801968	10.2307/801968	Another Philistine		The English Journal	12	3	1923-03-01T00:00:00Z	p. 218	National Council of Teachers of English	brv	Babbitt|Sinclair Lewis		
10.2307/802792	10.2307/802792	Spring and Song	Helena Gavin	The English Journal	12	5	1923-05-01T00:00:00Z	p. 333	National Council of Teachers of English	fla			
10.2307/801892	10.2307/801892	Back Matter		The English Journal	11	5	1922-05-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801930	10.2307/801930	The High-School Paper as an English Project	Robert Granville	The English Journal	12	8	1923-10-01T00:00:00Z	pp. 566-568	National Council of Teachers of English	fla			
10.2307/802884	10.2307/802884	A Simultaneous Pentagon of Debates	Julia D. Randall	The English Journal	13	6	1924-06-01T00:00:00Z	pp. 417-419	National Council of Teachers of English	fla			
10.2307/802892	10.2307/802892	Successful Junior High Text	R. L. Lyman	The English Journal	13	6	1924-06-01T00:00:00Z	p. 441	National Council of Teachers of English	brv	Ways to Better English, Brief Course|Thomas H. Briggs;Isabel McKinney		
10.2307/802843	10.2307/802843	The Study Club: The Fourth Citizen in "Julius Caesar"	W. H. McCreary	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 476-477	National Council of Teachers of English	fla			
10.2307/801969	10.2307/801969	A Useful Text for Freshman Composition	Stanley S. Swartley	The English Journal	12	3	1923-03-01T00:00:00Z	pp. 218-219	National Council of Teachers of English	brv	Composition for College Students|Joseph M. Thomas;Frederick A. Manchester;Franklin W. Scott		
10.2307/802723	10.2307/802723	News and Notes		The English Journal	10	10	1921-12-01T00:00:00Z	pp. 596-600	National Council of Teachers of English	mis			
10.2307/802132	10.2307/802132	Front Matter		The English Journal	9	4	1920-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802055	10.2307/802055	Systematizing Instruction in Rhetoric	James H. Fulwider	The English Journal	11	2	1922-02-01T00:00:00Z	pp. 100-103	National Council of Teachers of English	fla			
10.2307/802874	10.2307/802874	Back Matter		The English Journal	10	3	1921-03-01T00:00:00Z	p. 178	National Council of Teachers of English	mis			
10.2307/802267	10.2307/802267	Editorial: Speech and Personality. Is This a Good Program?		The English Journal	13	5	1924-05-01T00:00:00Z	pp. 353-355	National Council of Teachers of English	fla			
10.2307/802397	10.2307/802397	Two Excellent State Bulletins	Thomas H. Briggs	The English Journal	11	9	1922-11-01T00:00:00Z	pp. 593-594	National Council of Teachers of English	brv	The Teaching of English|State Department of Education of Maryland Baltimore, A Course of Study in English for High Schools|State Department of Education of Kansas Topeka		
10.2307/802480	10.2307/802480	Back Matter		The English Journal	14	1	1925-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802119	10.2307/802119	On the Teaching of Literature	F. H. Bair	The English Journal	10	4	1921-04-01T00:00:00Z	pp. 187-192	National Council of Teachers of English	fla			
